Generation,Highest Accuracy,Average Accuracy,Highest Score,Average Score,Average Network Size
1,6.382978723404255,2.1489361702127643,0.5372058691691182,0.5024657653108411,37351.25
2,7.092198581560284,2.2304964539007046,0.5443950943480161,0.5145612497714757,37351.46
3,5.673758865248227,2.2624113475177263,0.5507353767641648,0.5208189157241188,37351.435
4,6.382978723404255,2.3085106382978675,0.5690744396651866,0.5251806839629657,37351.31
5,6.382978723404255,2.475177304964535,0.5690744396651866,0.5299314602870923,37351.305
6,6.382978723404255,2.5851063829787204,0.5690744396651866,0.5341443403220217,37351.33
7,7.801418439716312,2.5248226950354566,0.5690744396651866,0.537102127407527,37351.41
8,6.382978723404255,2.4751773049645363,0.5690744396651866,0.540553849988513,37351.065
9,6.382978723404255,2.666666666666665,0.5704779303665342,0.5427744865636224,37351.085
10,7.092198581560284,2.7588652482269467,0.5704779303665342,0.5453246359058811,37350.965
11,7.092198581560284,2.531914893617019,0.5736423659468104,0.5465717033609617,37351.125
12,5.673758865248227,2.5815602836879408,0.5756315963692188,0.5483408777816152,37351.445
13,5.673758865248227,2.4680851063829765,0.5839975542490162,0.5500282868683971,37351.885
14,6.382978723404255,2.443262411347513,0.5946571118550129,0.5544145750643,37352.525
15,7.092198581560284,2.5354609929077982,0.5946571118550129,0.5580046217822008,37352.95
16,5.673758865248227,2.4255319148936154,0.5946571118550129,0.5607657570983554,37353.29
17,7.092198581560284,2.32624113475177,0.6012674497303715,0.5641493957352379,37353.625
18,5.673758865248227,2.3758865248226915,0.6022969666092054,0.5663220515382573,37353.93
19,5.673758865248227,2.365248226950352,0.6022969666092054,0.5680902833013518,37354.3
20,6.382978723404255,2.4326241134751734,0.6024360087122894,0.571004811455331,37354.52
21,5.673758865248227,2.4787234042553195,0.6024360087122894,0.5726347724585944,37354.765
22,6.382978723404255,2.3297872340425485,0.6024360087122894,0.5745764634950229,37354.875
23,7.092198581560284,2.4893617021276557,0.613665406878016,0.5755061551490012,37355.245
24,5.673758865248227,2.3900709219858136,0.613665406878016,0.5783680740364,37355.525
25,6.382978723404255,2.6063829787234023,0.6168993307039333,0.5770696178356883,37355.955
26,7.092198581560284,2.7411347517730444,0.6168993307039333,0.5813258845212055,37355.95
27,7.092198581560284,2.556737588652478,0.6168993307039333,0.5833668061697352,37356.31
28,6.382978723404255,2.695035460992904,0.6248427245179012,0.5865950523081594,37356.53
29,7.801418439716312,2.939716312056736,0.6298842679899087,0.5886725979672298,37356.61
30,7.092198581560284,3.173758865248224,0.6298842679899087,0.5913149331758749,37356.515
31,7.801418439716312,2.9716312056737575,0.6298842679899087,0.5946976131105276,37356.515
32,7.092198581560284,2.957446808510637,0.6382529741996024,0.5972086550593495,37356.595
33,7.092198581560284,3.1737588652482227,0.6382529741996024,0.6003888030829859,37356.765
34,7.801418439716312,3.1773049645390063,0.6382529741996024,0.6011803052542205,37357.02
35,7.801418439716312,3.074468085106382,0.6382529741996024,0.6028054986742596,37357.285
36,7.801418439716312,3.1418439716312063,0.6486629298675706,0.6025068595983851,37357.545
37,7.801418439716312,3.156028368794323,0.6486629298675706,0.6064065369184245,37357.88
38,7.092198581560284,3.212765957446807,0.6486629298675706,0.6078851961751589,37358.17
39,8.51063829787234,3.1631205673758855,0.6486629298675706,0.6103390006140297,37358.46
40,7.092198581560284,3.131205673758866,0.6486629298675706,0.6126963766946405,37358.615
